Cole                 has given Blade Master Symon BLADEMASTER teacher the corpse of a beholder.
Alliance Leader Rodaen has given Cole a lantern of hope.
Nicodemus            has given Cole a bag.
Nicodemus            has given Cole a bag.
Nicodemus            has given Cole a bag.
Nicodemus            has given Cole a bag.
Nicodemus            has given Cole a bag.
Nicodemus            has given Cole a bag.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Alliance Leader Rodaen has given Cole a pair of thick leather gloves.
Gold Dragon healer Raesaav has given Tyrriss a note list.
High Priest healer Julias has given Slypocket a note list.
Gold Dragon healer Raesaav has given Samos a note list.
elf maiden magical Shozat has given Samos a small bucket of dragon saliva.
elf maiden magical Shozat has given Samos a salve of rejuvenation.
ancient blue dragon Talshik drak has given Samos an iron dragon helm.
Samos                has given ancient blue dragon Talshik drak the corpse of a quartz runner.
ancient blue dragon Talshik drak has given Samos a pair of leather talon straps.
Samos                has given ancient blue dragon Talshik drak the thrashing tail of A Moss Crawler.
ancient blue dragon Talshik drak has given Samos a pair of crimson red drakkel bracers.
Samos                has given ancient blue dragon Talshik drak the spilled guts of A Skeleton.
ancient blue dragon Talshik drak has given Samos a crimson red drakkel chainmail coat.
Samos                has given ancient blue dragon Talshik drak a leather saddle bag.
ancient blue dragon Talshik drak has given Samos a crimson red drakkel visor.
Samos                has given ancient blue dragon Talshik drak the corpse of The ugly wererat.
ancient blue dragon Talshik drak has given Samos a golden drakkel claw.
Samos                has given priest turath the corpse of a beholder.
priest turath        has given Samos an adventurer's belt.
Samos                has given dwarf adventurer Gladan a dwarven hammer.
dwarf adventurer Gladan has given Samos a pair of dwarven mithril armguards .
Samos                has given dwarf adventurer Gladan a dwarven hammer.
dwarf adventurer Gladan has given Samos a pair of dwarven mithril armguards .
healer yochlol priestess has given Robirb a note list.
Samos                has given gnome elder the corpse of a cave bear.
Thorne               has given Jayden &za &cs&ze&wc&cr&ze&wt &zp&co&wu&zc&ch&d.
Thorne               has given Jayden a pair of leather gauntlets, legendary tanned from bugbear.
Thorne               has given Jayden a pair of leather armlets, legendary tanned from bugbear.
Thorne               has given Jayden a leather cloak, legendary tanned from bugbear.
Thorne               has given Jayden a leather girdle, legendary tanned from bugbear.
Thorne               has given Jayden a leather bracer, legendary tanned from bugbear.
Thorne               has given Jayden a leather bracer, legendary tanned from bugbear.
Thorne               has given Jayden a ear band, legendary tanned from bugbear.
Thorne               has given Jayden a studded leather visor, legendary tanned from bugbear.
Thorne               has given Jayden a hardened leather backplate, legendary tanned from bugbear.
Thorne               has given Jayden a hardened leather mask, legendary tanned from bugbear.
Thorne               has given Jayden a pair of hardened leather anklets, legendary tanned from bugbear.
Thorne               has given Jayden a pair of hardened leather anklets, legendary tanned from bugbear.
Thorne               has given Jayden a sheath, legendary tanned from bugbear.
Impulse              has given Jayden a gold ruby dagger.
Impulse              has given Jayden a gold ruby round-shield.
Drix                 has given Jayden a hooded lantern.
Rowan                has given Jayden a bag.
Rowan                has given Jayden a bag.
Rowan                has given Jayden a bag.
Rowan                has given Jayden a bag.
Rowan                has given Jayden a bag.
Rowan                has given Jayden a bag.
Rowan                has given Jayden a bag.
Jayden               has given Seano Halfling Sheriff a dwarf scout corpse.
Jayden               has given Blade Master Symon BLADEMASTER teacher the corpse of a beholder.
Alliance Leader Rodaen has given Jayden a lantern of hope.
Gold Dragon healer Raesaav has given Zorban a note list.
elf maiden magical Shozat has given Zorban a small bucket of dragon saliva.
elf maiden magical Shozat has given Zorban a salve of rejuvenation.
Gold Dragon healer Raesaav has given Seifer a note list.
High Priest healer Julias has given Testador a note list.
Samos                has given fire giant Gydashei a face mask of gydashei.
fire giant Gydashei  has given Samos a face plate.
Annellin             has given Seano Halfling Sheriff a dwarf scout corpse.
Annellin             has given priest turath the skeleton of a beholder.
Annellin             has given priest turath the slimy tentacle of a beholder.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Gold Dragon healer Raesaav has given Gleon a note list.
elf maiden magical Shozat has given Gleon a small bucket of dragon saliva.
elf maiden magical Shozat has given Gleon a salve of rejuvenation.
ancient blue dragon Talshik drak has given Gleon an iron dragon helm.
Gleon                has given ancient blue dragon Talshik drak the corpse of a quartz runner.
ancient blue dragon Talshik drak has given Gleon a pair of leather talon straps.
Gleon                has given ancient blue dragon Talshik drak the thrashing tail of A Moss Crawler.
ancient blue dragon Talshik drak has given Gleon a pair of crimson red drakkel bracers.
