#SKILL
Name         reserved~
Type         unknown
Info         0
Flags        0
Slot         95
Code         spell_null
Wearoff      ???~
Minlevel     101
End

#SKILL
Name         acid breath~
Type         Spell
Info         5
Flags        0
Target       1
Minpos       110
Min_dist     6
Max_dist     14
Slot         200
Mana         20
Rounds       12
Code         spell_null
Dammsg       blast of acid~
Wearoff      !Acid Breath!~
Difficulty   1
Teachers     10808~
Minlevel     101
End

#SKILL
Name         acidic touch~
Type         Spell
Info         5
Flags        0
Target       1
Mana         10
Rounds       5
Code         spell_acidic_touch
Dammsg       acidic touch~
Difficulty   1
Minlevel     101
End

#SKILL
Name         admonishing smite~
Type         Spell
Info         395
Flags        6144
Target       1
Minpos       108
Min_dist     8
Max_dist     25
Mana         25
Rounds       18
Code         spell_smaug
Dammsg       admonishing lightning~
Hitchar      &YYou call down lightning from the heavens to smite $N!~
Hitvict      &Y$n calls down lightning from the heavens to smite you!~
Hitroom      &Y$n calls down lightning from the heavens to smite $N!~
Dice         P~
Difficulty   1
Minlevel     101
End

#SKILL
Name         alertness~
Type         Spell
Info         0
Flags        0
Target       3
Minpos       111
Slot         102
Mana         60
Rounds       15
Code         spell_smaug
Wearoff      You are suddenly less alert.~
Hitvict      You suddenly feel alert.~
Hitroom      $N's eyes dart about the room in an alert manner.~
Difficulty   2
Teachers     2760~
Affect       'l*15' 27 '1024' -1
Minlevel     101
End

#SKILL
Name         animate corpse~
Type         Spell
Info         0
Flags        0
Minpos       110
Max_dist     6
Rounds       12
Code         spell_animate_corpse
Difficulty   3
Minlevel     101
End

#SKILL
Name         animate skeleton~
Type         Spell
Info         0
Flags        0
Minpos       110
Max_dist     6
Slot         231
Rounds       12
Code         spell_animate_skeleton
Wearoff      !Animate Dead!~
Difficulty   1
Teachers     2302~
Minlevel     101
End

#SKILL
Name         antimagic shell~
Type         Spell
Info         0
Flags        0
Target       3
Minpos       111
Slot         224
Mana         40
Rounds       12
Code         spell_smaug
Wearoff      The shimmering shell and its protection from magic fade away...~
Hitvict      A shimmering translucent shell forms about you.~
Hitroom      A shimmering translucent shell forms about $N.~
Difficulty   1
Teachers     26001~
Affect       'l*10' 27 '1048576' -1
Minlevel     101
End

#SKILL
Name         aqua breath~
Type         Spell
Info         0
Flags        1024
Target       2
Minpos       108
Max_dist     6
Slot         236
Mana         50
Rounds       12
Code         spell_smaug
Wearoff      Your lungs revert to their original state.~
Hitchar      $N's lungs take on the ability to breathe water...~
Hitvict      Your lungs take on the ability to breathe water...~
Hitroom      $N's lungs take on the ability to breathe water...~
Difficulty   1
Teachers     2760~
Affect       'l*10' 26 'aqua breath' 31
Minlevel     101
End

#SKILL
Name         arch healing~
Type         Spell
Info         0
Flags        256
Target       2
Minpos       108
Min_dist     6
Max_dist     15
Mana         25
Rounds       12
Code         spell_smaug
Hitchar      You focus your healing energies on $N's wounds.~
Hitvict      The pain subsides as healing energies fill your body.~
Difficulty   4
Affect       '(null)' 13 '70+l' -1
Minlevel     101
End

#SKILL
Name         armor~
Type         Spell
Info         0
Flags        0
Target       2
Minpos       108
Min_dist     8
Max_dist     12
Slot         1
Mana         5
Rounds       12
Code         spell_armor
Wearoff      Your armor returns to its mundane value.~
Difficulty   1
Affect       'l*12' 27 '16777216' -1
Minlevel     5
End

#SKILL
Name         astral walk~
Type         Spell
Info         0
Flags        0
Minpos       115
Slot         90
Mana         30
Rounds       12
Code         spell_astral_walk
Wearoff      !Astral Walk!~
Difficulty   1
Teachers     10808~
Minlevel     14
End

#SKILL
Name         aura of courage~
Type         Spell
Info         0
Flags        0
Target       3
Minpos       109
Mana         50
Rounds       20
Code         spell_smaug
Wearoff      Your aura of courage fades away!~
Hitvict      An aura of courage surrounds you.~
Hitroom      $N is surrounded by an aura of courage.~
Difficulty   5
Teachers     2760~
Affect       'l*4' 17 '-20' -1
Affect       'l*4' 19 '5' -1
Affect       'l*4' 18 '8' -1
Minlevel     51
End

#SKILL
Name         aura of life~
Type         Spell
Info         0
Flags        0
Target       3
Minpos       108
Mana         20
Rounds       16
Code         spell_aura_of_life
Wearoff      You're no longer surround via an aura of life.~
Difficulty   1
Teachers     31007~
Minlevel     54
End

#SKILL
Name         barbs~
Type         Spell
Info         392
Flags        0
Target       1
Minpos       110
Mana         15
Rounds       12
Code         spell_barbs
Dammsg       barbed nettles~
Missroom     supress~
Difficulty   4
Minlevel     101
End

#SKILL
Name         benefic aura~
Type         Spell
Info         0
Flags        0
Target       3
Minpos       111
Min_dist     8
Slot         342
Mana         50
Rounds       12
Code         spell_smaug
Wearoff      Your protection from evil slowly unravels.~
Hitvict      A faint glow rises about you as you are instilled with a ward against evil.~
Hitroom      A faint glow rises protectively about $N.~
Components   V@65~
Affect       'l*7' 26 'protect' 13
Minlevel     101
End

#SKILL
Name         bestow vitae~
Type         Spell
Info         0
Flags        6144
Minpos       108
Min_dist     8
Max_dist     20
Mana         50
Rounds       18
Code         spell_bestow_vitae
Wearoff      Your bestowal vitae suddenly fades....~
Difficulty   2
Teachers     16722~
Minlevel     14
End

#SKILL
Name         black fist~
Type         Spell
Info         911
Flags        0
Target       1
Minpos       110
Min_dist     8
Max_dist     25
Slot         310
Mana         15
Rounds       8
Code         spell_black_fist
Dammsg       Black Fist~
Wearoff      !WEAROFF!~
Difficulty   1
Minlevel     101
End

#SKILL
Name         black lightning~
Type         Spell
Info         908
Flags        0
Target       1
Minpos       109
Min_dist     8
Max_dist     25
Slot         303
Mana         15
Rounds       18
Code         spell_black_lightning
Dammsg       Black Lightning~
Wearoff      !WEAROFF!~
Difficulty   1
Teachers     2302~
Minlevel     70
End

#SKILL
Name         blaze~
Type         Spell
Info         393
Flags        6144
Target       1
Minpos       108
Min_dist     6
Slot         216
Mana         20
Rounds       8
Code         spell_smaug
Dammsg       blaze~
Hitchar      &RYou cause $N to burst into a blazing flame!~
Hitroom      &R$n gestures at $N, and $N suddenly bursts into a blazing flame!~
Dice         R~
Difficulty   1
Minlevel     101
End

#SKILL
Name         blindness~
Type         Spell
Info         0
Flags        0
Target       1
Minpos       105
Min_dist     8
Max_dist     12
Slot         4
Mana         5
Rounds       12
Code         spell_blindness
Wearoff      You can see again.~
Difficulty   1
Minlevel     6
End

#SKILL
Name         boost~
Type         Spell
Info         0
Flags        0
Code         do_boost
Wearoff      &cYou feel weakened as the energy from boost wears off.~
Minlevel     101
End

#SKILL
Name         cause critical~
Type         Spell
Info         4
Flags        0
Target       1
Minpos       109
Min_dist     6
Max_dist     12
Slot         63
Mana         20
Rounds       12
Code         spell_cause_critical
Dammsg       spell~
Wearoff      !Cause Critical!~
Difficulty   1
Minlevel     10
End

#SKILL
Name         cause light~
Type         Spell
Info         4
Flags        0
Target       1
Minpos       110
Min_dist     6
Max_dist     12
Slot         62
Mana         15
Rounds       12
Code         spell_cause_light
Dammsg       spell~
Wearoff      !Cause Light!~
Difficulty   1
Minlevel     1
End

#SKILL
Name         chilled ward~
Type         Spell
Info         0
