#VERSION 1

#CELL		0 0
Climate     chapparal~
Hemisphere  southern~
State       100 12 27 37 88 69 100 6
End

#CELL		1 0
Climate     rainforest~
Hemisphere  southern~
State       34 70 10 64 78 80 87 -95
End

#CELL		2 0
Climate     rainforest~
Hemisphere  northern~
State       27 52 1 61 84 85 -100 -100
End

#CELL		3 0
Climate     arctic~
Hemisphere  southern~
State       100 85 13 34 85 73 -100 90
End

#CELL		4 0
Climate     desert~
Hemisphere  northern~
State       100 100 17 35 87 57 100 82
End

#CELL		5 0
Climate     arctic~
Hemisphere  northern~
State       100 8 10 38 80 29 100 94
End

#CELL		6 0
Climate     tundra~
Hemisphere  northern~
State       100 39 0 45 75 27 100 62
End

#CELL		7 0
Climate     chapparal~
Hemisphere  northern~
State       100 100 8 52 75 34 -86 -27
End

#CELL		8 0
Climate     grasslands~
Hemisphere  southern~
State       100 0 14 36 78 41 -67 66
End

#CELL		9 0
Climate     taiga~
Hemisphere  northern~
State       100 100 19 33 73 31 -98 90
End

#CELL		0 1
Climate     chapparal~
Hemisphere  northern~
State       77 32 0 61 84 56 46 -94
End

#CELL		1 1
Climate     desert~
Hemisphere  southern~
State       100 100 12 38 79 70 49 -97
End

#CELL		2 1
Climate     chapparal~
Hemisphere  southern~
State       100 42 6 42 85 71 -99 -99
End

#CELL		3 1
Climate     steppe~
Hemisphere  northern~
State       100 92 1 54 80 70 -100 -100
End

#CELL		4 1
Climate     alpine~
Hemisphere  northern~
State       100 0 0 67 86 40 54 -80
End

#CELL		5 1
Climate     chapparal~
Hemisphere  southern~
State       100 100 15 38 85 42 100 -100
End

#CELL		6 1
Climate     rainforest~
Hemisphere  northern~
State       60 38 0 62 75 44 100 -100
End

#CELL		7 1
Climate     tundra~
Hemisphere  northern~
State       100 97 18 37 72 34 -84 -76
End

#CELL		8 1
Climate     steppe~
Hemisphere  southern~
State       100 59 26 34 71 51 -84 31
End

#CELL		9 1
Climate     alpine~
Hemisphere  northern~
State       68 48 0 65 76 23 72 59
End

#CELL		0 2
Climate     steppe~
Hemisphere  southern~
State       100 16 15 35 88 72 41 -98
End

#CELL		1 2
Climate     desert~
Hemisphere  southern~
State       99 30 10 36 88 63 -100 -100
End

#CELL		2 2
Climate     arctic~
Hemisphere  southern~
State       100 35 11 42 88 75 -41 -100
End

#CELL		3 2
Climate     chapparal~
Hemisphere  northern~
State       100 0 0 57 86 52 100 -94
End

#CELL		4 2
Climate     savanna~
Hemisphere  northern~
State       59 100 3 16 100 61 100 20
End

#CELL		5 2
Climate     chapparal~
Hemisphere  southern~
State       100 70 14 31 81 53 100 -87
End

#CELL		6 2
Climate     deciduous_forest~
Hemisphere  northern~
State       100 100 1 60 74 42 100 -100
End

#CELL		7 2
Climate     desert~
Hemisphere  southern~
State       100 44 16 31 74 56 100 -49
End

#CELL		8 2
Climate     alpine~
Hemisphere  southern~
State       94 47 7 58 70 40 84 87
End

#CELL		9 2
Climate     grasslands~
Hemisphere  northern~
State       100 56 23 38 80 42 -100 92
End

#CELL		0 3
Climate     grasslands~
Hemisphere  southern~
State       100 0 19 33 81 72 100 100
End

#CELL		1 3
Climate     steppe~
Hemisphere  northern~
State       100 85 10 43 80 60 -37 100
End

#CELL		2 3
Climate     savanna~
Hemisphere  northern~
State       55 0 11 5 100 69 -100 100
End

#CELL		3 3
Climate     arctic~
Hemisphere  northern~
State       100 3 8 36 80 48 100 82
End

#CELL		4 3
Climate     rainforest~
Hemisphere  northern~
State       79 100 0 69 83 62 100 84
End

#CELL		5 3
Climate     deciduous_forest~
Hemisphere  northern~
State       100 64 0 44 79 48 100 100
End

#CELL		6 3
Climate     arctic~
Hemisphere  southern~
State       100 92 5 40 75 68 96 95
End

#CELL		7 3
Climate     arctic~
Hemisphere  southern~
State       100 6 15 39 79 58 91 46
End

#CELL		8 3
Climate     rainforest~
Hemisphere  southern~
State       70 16 12 49 71 58 91 87
End

#CELL		9 3
Climate     chapparal~
Hemisphere  northern~
State       100 30 11 52 81 44 66 53
End

#CELL		0 4
Climate     desert~
Hemisphere  northern~
State       100 91 19 27 100 62 100 54
End

#CELL		1 4
Climate     rainforest~
Hemisphere  southern~
State       64 78 4 71 57 68 -17 100
End

#CELL		2 4
Climate     steppe~
Hemisphere  northern~
State       100 13 19 38 87 54 -90 100
End

#CELL		3 4
Climate     steppe~
Hemisphere  southern~
State       100 92 18 38 81 62 100 100
End

#CELL		4 4
Climate     grasslands~
Hemisphere  northern~
State       100 7 6 55 75 52 100 93
End

#CELL		5 4
Climate     steppe~
Hemisphere  northern~
State       100 94 0 43 72 60 92 95
End

#CELL		6 4
Climate     deciduous_forest~
Hemisphere  southern~
State       100 54 3 42 76 55 98 100
End

#CELL		7 4
Climate     taiga~
Hemisphere  southern~
State       100 0 10 58 79 50 75 65
End

#CELL		8 4
Climate     deciduous_forest~
Hemisphere  northern~
State       100 42 25 36 81 52 70 -100
End

#CELL		9 4
Climate     taiga~
Hemisphere  northern~
State       100 68 26 37 79 45 -62 -100
End

#CELL		0 5
Climate     deciduous_forest~
Hemisphere  northern~
State       94 100 2 46 79 55 7 80
End

#CELL		1 5
Climate     savanna~
Hemisphere  northern~
State       77 44 7 23 100 58 -38 91
End

#CELL		2 5
Climate     arctic~
Hemisphere  northern~
State       100 47 10 39 82 48 69 78
End

#CELL		3 5
Climate     deciduous_forest~
Hemisphere  southern~
State       100 5 11 52 74 59 65 100
End

#CELL		4 5
Climate     alpine~
Hemisphere  northern~
State       100 18 1 52 78 50 -42 100
End

#CELL		5 5
Climate     desert~
Hemisphere  southern~
State       100 52 14 41 81 64 100 93
End

#CELL		6 5
Climate     rainforest~
Hemisphere  northern~
State       65 88 0 61 74 66 -10 92
End

#CELL		7 5
Climate     alpine~
Hemisphere  northern~
State       95 54 0 51 71 45 -93 -95
End

#CELL		8 5
Climate     desert~
Hemisphere  northern~
State       100 100 19 38 70 62 35 -93
End

#CELL		9 5
Climate     rainforest~
Hemisphere  northern~
State       64 51 7 62 84 73 97 -100
End

#CELL		0 6
Climate     rainforest~
Hemisphere  southern~
State       21 42 0 68 85 68 -100 100
End

#CELL		1 6
Climate     taiga~
Hemisphere  southern~
State       100 64 9 45 80 51 -63 100
End

#CELL		2 6
Climate     chapparal~
Hemisphere  northern~
State       82 0 0 63 79 49 100 100
End

#CELL		3 6
Climate     rainforest~
